Alabama,1
Arizona,0
Arkansas,0
California,1
Colorado,1
Connecticut,0
Delaware,1
District of Columbia,0
Florida,0
Georgia,0
Hawaii,1
Idaho,0
Illinois,1
Indiana,0
Iowa,0
Kentucky,0
Louisiana,0
Maine,1
Maryland,1
Michigan,0
Minnesota,0
Mississippi,0
Missouri,0
New Hampshire,0
New Jersey,1
New Mexico,1
New York,0
North Carolina,1
North Dakota,0
Ohio,0
Oklahoma,1
Oregon,1
Pennsylvania,0
Rhode Island,1
South Carolina,0
South Dakota,0
Tennessee,0
Texas,1
Utah,0
Vermont,1
Virginia,1
Washington,1
West Virginia,1
Wisconsin,0
